timestamp,idx,label,width,height,xmin,ymin,xmax,ymax,score
3_20191018_162514_000000,0,car,1920,1080,1574,569,1729,627,0.73046875
3_20191018_162514_000000,1,car,1920,1080,25,556,479,747,0.41796875
3_20191018_162514_000000,2,car,1920,1080,744,594,817,634,0.41796875
3_20191018_162514_000000,3,car,1920,1080,836,594,886,630,0.41796875
3_20191018_162514_000000,4,car,1920,1080,544,598,597,636,0.41796875
3_20191018_162514_000000,5,car,1920,1080,1536,583,1751,694,0.33984375
3_20191018_162514_000030,0,car,1920,1080,86,561,631,782,0.93359375
3_20191018_162514_000030,1,car,1920,1080,749,590,823,638,0.5
3_20191018_162514_000030,2,car,1920,1080,903,622,980,678,0.41796875
3_20191018_162514_000030,3,car,1920,1080,917,592,984,638,0.33984375
3_20191018_162514_000030,4,car,1920,1080,830,593,889,633,0.33984375
3_20191018_162514_000060,0,car,1920,1080,267,570,689,764,0.87890625
3_20191018_162514_000060,1,car,1920,1080,639,586,704,627,0.58203125
3_20191018_162514_000060,2,car,1920,1080,747,590,828,634,0.5
3_20191018_162514_000060,3,car,1920,1080,1357,585,1415,626,0.41796875
3_20191018_162514_000060,4,car,1920,1080,711,609,833,672,0.41796875
3_20191018_162514_000060,5,car,1920,1080,1546,579,1595,628,0.41796875
3_20191018_162514_000060,6,car,1920,1080,827,588,888,631,0.41796875
3_20191018_162514_000090,0,car,1920,1080,351,571,723,733,0.7890625
3_20191018_162514_000090,1,car,1920,1080,51,592,296,706,0.7890625
3_20191018_162514_000090,2,car,1920,1080,820,580,878,623,0.5
3_20191018_162514_000090,3,car,1920,1080,758,584,824,625,0.5
3_20191018_162514_000090,4,car,1920,1080,650,579,689,613,0.41796875
3_20191018_162514_000120,0,car,1920,1080,820,586,875,631,0.66015625
3_20191018_162514_000120,1,car,1920,1080,893,602,991,677,0.58203125
3_20191018_162514_000120,2,car,1920,1080,745,584,786,623,0.5
3_20191018_162514_000120,3,car,1920,1080,462,598,706,723,0.5
3_20191018_162514_000120,4,car,1920,1080,916,578,984,645,0.41796875
3_20191018_162514_000150,0,car,1920,1080,531,583,758,700,0.7890625
3_20191018_162514_000150,1,car,1920,1080,817,582,882,638,0.66015625
3_20191018_162514_000150,2,car,1920,1080,906,568,994,652,0.5
3_20191018_162514_000150,3,car,1920,1080,753,583,792,618,0.41796875
3_20191018_162514_000150,4,car,1920,1080,912,611,998,662,0.33984375
3_20191018_162514_000150,5,car,1920,1080,539,586,592,623,0.33984375
3_20191018_162514_000180,0,car,1920,1080,597,587,783,695,0.7890625
3_20191018_162514_000180,1,car,1920,1080,823,586,883,636,0.73046875
3_20191018_162514_000180,2,car,1920,1080,913,580,981,641,0.58203125
3_20191018_162514_000180,3,car,1920,1080,914,610,976,661,0.33984375
3_20191018_162514_000210,0,car,1920,1080,831,592,881,633,0.7890625
3_20191018_162514_000210,1,car,1920,1080,612,596,772,686,0.73046875
3_20191018_162514_000210,2,car,1920,1080,676,600,784,679,0.58203125
3_20191018_162514_000210,3,car,1920,1080,928,579,982,632,0.58203125
3_20191018_162514_000210,4,car,1920,1080,539,599,596,637,0.5
3_20191018_162514_000210,5,car,1920,1080,759,585,799,624,0.41796875
3_20191018_162514_000210,6,car,1920,1080,910,616,990,659,0.33984375
3_20191018_162514_000240,0,car,1920,1080,835,596,884,631,0.83984375
3_20191018_162514_000240,1,car,1920,1080,932,590,989,634,0.73046875
3_20191018_162514_000240,2,car,1920,1080,613,588,771,683,0.66015625
3_20191018_162514_000240,3,car,1920,1080,686,590,794,677,0.41796875
3_20191018_162514_000240,4,car,1920,1080,754,586,797,628,0.33984375
3_20191018_162514_000240,5,car,1920,1080,641,586,726,637,0.33984375
3_20191018_162514_000270,0,car,1920,1080,830,596,885,636,0.73046875
3_20191018_162514_000270,1,car,1920,1080,622,620,761,687,0.66015625
3_20191018_162514_000270,2,car,1920,1080,561,606,608,632,0.58203125
3_20191018_162514_000270,3,car,1920,1080,411,604,491,644,0.41796875
3_20191018_162514_000270,4,car,1920,1080,4,600,156,723,0.41796875
3_20191018_162514_000270,5,car,1920,1080,652,588,715,623,0.41796875
3_20191018_162514_000270,6,car,1920,1080,375,613,490,656,0.41796875
3_20191018_162514_000300,0,car,1920,1080,821,586,891,631,0.87890625
3_20191018_162514_000300,1,car,1920,1080,926,580,994,638,0.66015625
3_20191018_162514_000300,2,car,1920,1080,355,602,420,642,0.58203125
3_20191018_162514_000300,3,car,1920,1080,737,582,801,641,0.5
3_20191018_162514_000300,4,car,1920,1080,616,596,771,681,0.5
3_20191018_162514_000300,5,car,1920,1080,693,595,791,673,0.33984375
3_20191018_162514_000330,0,car,1920,1080,813,592,879,637,0.7890625
3_20191018_162514_000330,1,car,1920,1080,928,587,986,637,0.66015625
3_20191018_162514_000330,2,car,1920,1080,13,621,102,681,0.66015625
3_20191018_162514_000330,3,car,1920,1080,540,592,752,698,0.58203125
3_20191018_162514_000330,4,car,1920,1080,746,583,795,619,0.58203125
3_20191018_162514_000330,5,car,1920,1080,1061,581,1092,611,0.33984375
3_20191018_162514_000360,0,car,1920,1080,329,566,736,760,0.73046875
3_20191018_162514_000360,1,car,1920,1080,801,590,877,638,0.66015625
3_20191018_162514_000360,2,car,1920,1080,931,582,996,636,0.66015625
